iter	Passed	Remaining
0	59	59229
1	59	29747
2	59	19905
3	60	14980
4	60	12025
5	60	10067
6	61	8656
7	61	7596
8	62	6866
9	62	6198
10	62	5653
11	63	5197
12	63	4812
13	63	4482
14	63	4195
15	64	3944
16	64	3723
17	64	3526
18	64	3352
19	65	3193
20	65	3049
21	65	2920
22	65	2801
23	66	2693
24	66	2592
25	66	2499
26	67	2416
27	67	2336
28	67	2261
29	67	2192
30	68	2127
31	68	2066
32	68	2008
33	68	1954
34	69	1903
35	69	1854
36	69	1808
37	69	1767
38	70	1726
39	70	1687
40	70	1651
41	70	1615
42	71	1582
43	71	1549
44	71	1519
45	71	1490
46	72	1462
47	72	1434
48	72	1409
49	72	1385
50	73	1361
51	73	1339
52	73	1317
53	73	1296
54	74	1275
55	74	1256
56	74	1236
57	74	1217
58	75	1200
59	75	1182
60	75	1165
61	75	1149
62	76	1133
63	76	1117
64	76	1103
65	76	1088
66	77	1074
67	77	1060
68	77	1047
69	77	1035
70	78	1022
71	78	1010
72	78	998
73	78	986
74	79	975
75	79	964
76	79	954
77	79	944
78	80	934
79	80	924
80	80	915
81	80	906
82	81	895
83	81	886
84	81	877
85	81	869
86	82	860
87	82	852
88	82	844
89	82	836
90	83	829
91	83	821
92	83	814
93	83	807
94	84	800
95	84	793
96	84	787
97	84	780
98	85	773
99	85	767
100	85	761
101	85	755
102	86	750
103	86	743
104	86	738
105	86	732
106	87	727
107	87	721
108	87	716
109	87	711
110	88	706
111	88	701
112	88	696
113	88	691
114	89	686
115	89	681
116	89	676
117	89	671
118	90	667
119	90	663
120	90	658
121	90	653
122	91	649
123	91	645
124	91	641
125	91	636
126	92	632
127	92	628
128	92	625
129	92	621
130	93	617
131	93	613
132	93	610
133	93	606
134	94	603
135	94	599
136	94	595
137	94	592
138	95	589
139	95	585
140	95	582
141	95	578
142	95	575
143	96	572
144	96	569
145	96	566
146	97	563
147	97	560
148	97	557
149	97	554
150	98	552
151	98	549
152	98	546
153	98	543
154	99	540
155	99	537
